sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
6.0,0.125,1.0,0.0,4,1,0,0,1
92.3,0.4166666666666667,0.3333333333333333,0.3076923076923077,1,4,5,3,12
124.3,0.44,0.3333333333333333,0.3076923076923077,1,4,5,3,12
156.1,0.44,0.3333333333333333,0.2857142857142857,0,4,5,3,12
187.9,0.44,0.3333333333333333,0.2857142857142857,0,4,6,2,12
219.7,0.44,0.3333333333333333,0.3333333333333333,0,4,6,2,12
251.5,0.46153846153846156,0.3333333333333333,0.375,0,4,6,2,12
283.3,0.46153846153846156,0.3333333333333333,0.375,0,4,6,2,12
315.1,0.46153846153846156,0.3333333333333333,0.35294117647058826,0,4,6,2,12
346.9,0.46153846153846156,0.3333333333333333,0.35294117647058826,0,4,6,2,12
378.7,0.46153846153846156,0.3333333333333333,0.3888888888888889,0,4,6,2,12
410.5,0.46153846153846156,0.3333333333333333,0.3888888888888889,0,4,6,2,12
442.3,0.46153846153846156,0.3333333333333333,0.3684210526315789,0,4,6,2,12
474.1,0.46153846153846156,0.4166666666666667,0.3684210526315789,0,5,5,2,12
505.9,0.46153846153846156,0.4166666666666667,0.35,0,5,5,2,12
537.7,0.46153846153846156,0.4166666666666667,0.35,0,5,5,2,12
569.5,0.46153846153846156,0.4166666666666667,0.38095238095238093,0,5,5,2,12
601.3,0.46153846153846156,0.4166666666666667,0.38095238095238093,0,5,5,2,12
633.1,0.46153846153846156,0.4166666666666667,0.36363636363636365,0,5,5,2,12
664.9,0.46153846153846156,0.4166666666666667,0.36363636363636365,0,5,5,2,12
696.7,0.46153846153846156,0.4166666666666667,0.391304347826087,0,5,5,2,12
728.5,0.46153846153846156,0.4166666666666667,0.391304347826087,0,5,5,2,12
760.3,0.46153846153846156,0.4166666666666667,0.4166666666666667,0,5,5,2,12
792.1,0.46153846153846156,0.4166666666666667,0.4166666666666667,0,5,5,2,12
823.9,0.46153846153846156,0.4166666666666667,0.44,0,5,5,2,12
855.7,0.46153846153846156,0.4166666666666667,0.44,0,5,5,2,12
887.5,0.46153846153846156,0.4166666666666667,0.46153846153846156,0,5,5,2,12
919.3,0.46153846153846156,0.4166666666666667,0.46153846153846156,0,5,5,2,12
951.1,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
982.9,0.46153846153846156,0.3333333333333333,0.4444444444444444,0,4,5,3,12
1014.7,0.46153846153846156,0.3333333333333333,0.4444444444444444,0,4,5,3,12
1046.5,0.46153846153846156,0.3333333333333333,0.4444444444444444,0,4,5,3,12
1078.3,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
1110.1,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
1141.9,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
1173.7,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
1205.5,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
1237.3,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
1269.1,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,5,2,12
1300.9,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
1332.7,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
1364.5,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
1396.3,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1428.1,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1459.9,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1491.7,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1523.5,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1555.3,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1587.1,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1618.9,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1650.7,0.46153846153846156,0.5,0.4444444444444444,0,6,3,3,12
1682.5,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1714.3,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1746.1,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1777.9,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1809.7,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1841.5,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1873.3,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1905.1,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1936.9,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
1968.7,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
2000.5,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
2032.3,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
2064.1,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
2095.9,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
2127.7,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
2159.5,0.46153846153846156,0.5833333333333334,0.4444444444444444,0,7,3,2,12
2191.3,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2223.1,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2254.9,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2286.7,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2318.5,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2350.3,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2382.1,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2413.9,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,4,3,12
2445.7,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,4,3,12
2477.5,0.46153846153846156,0.4166666666666667,0.4444444444444444,0,5,4,3,12
2509.3,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2541.1,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2572.9,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2604.7,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2636.5,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
2668.3,0.46153846153846156,0.5,0.4444444444444444,0,6,4,2,12
